Ramsey?K walked (3-2 BBKBFB).
Parkinson?S singled up the middle? 2 RBI (0-0)3a Delamora?B advanced to third3a Burkhardt?K scored3a Ramsey?K scored.
Ramsey?K popped up to ss (2-1).
Wike?T doubled to right center (3-2).
Burkhardt?K popped up to p (1-0).
Bailiff?K grounded out to ss (2-1).
Delamora?B struck out swinging (3-2).
Parkinson?S struck out looking (2-2).
Dray?M struck out looking (3-2).
Shifflett?K grounded out to ss (1-2).
DeBerry?D popped up to 1b (2-2).
Ramsey?K singled up the middle (3-2).
Ramsey?K stole second? advanced to third on a throwing error by c.
Wike?T intentionally walked (3-1).
Wike?T stole second.
Burkhardt?K lined out to p (1-2).
BACKSTROM? S to p for GAY? S..
Bailiff?K popped up to ss (2-2).
Delamora?B walked (3-1).
West?B pinch ran for Delamora?B.
Parkinson?S out at first c to 2b? SAC? bunt (0-0)3a West?B advanced to second.
Dray?M singled to right center? RBI (1-0)3a West?B scored.
Shifflett?K struck out swinging (1-2).
DeBerry?D reached on a throwing error by p (2-0).
DeBerry?D out at second c to ss? caught stealing.
Ramsey?K doubled (3-2).
Wike?T grounded out to 2b (0-0)3a Ramsey?K advanced to third.
Burkhardt?K flied out to rf (2-0).
MUNDELL? S. to p for BACKSTROM? S.
Bailiff?K grounded out to 3b (0-0).
Delamora?B to dp for West?B.
Delamora?B walked (3-0).
Cole?H pinch ran for Delamora?B.
Parkinson?S homered? 2 RBI (0-0)3a Cole?H scored.
Dray?M flied out to 2b (2-2).
Hutcherson?C walked (3-0).
DeBerry?D grounded out to 3b (2-1).
Ramsey?K singled up the middle (1-2 SSB).
Wike?T grounded out to p? SAC? bunt (0-0)3a Ramsey?K advanced to second.
Burkhardt?K grounded out to p (0-1 K)3a Ramsey?K advanced to third.
Bailiff?K struck out swinging (0-2 KFS).
Delamora?B grounded out to 3b (3-2 BBKFB).
Parkinson?S struck out looking (1-2 BSKK).
Dray?M walked (3-2 KKBFBFBFB).
Hutcherson?C struck out swinging (3-2 BBKBKS).
Roadcap? K. to 1b for Lascola? S..
DeBerry?D grounded out to 3b (0-2 KFF).
Ramsey?K singled to pitcher (2-2 BSSBFF).
Wike?T flied out to rf (1-0 B).
Ramsey?K stole second.
Burkhardt?K struck out looking (1-2 FBSK).
Samuels? A. to c for Mrozek? J..
Bailiff?K grounded out to 3b (0-1 S).
Delamora?B flied out to rf (3-2 BFBFB).
Parkinson?S struck out swinging (2-2 KBBKFS).
Dray?M popped up to ss (0-0).
Hutcherson?C fouled out to 3b (1-2 KBF).
DeBerry?D fouled out to c (0-0).
Murray?L reached on a throwing error by 3b? advanced to second (3-2).
Ramsey?K out at first c to 2b? SAC? bunt (0-1)3a Murray?L advanced to third.
Murray?L scored on a wild pitch.
Wike?T grounded out to ss (3-2).
Burkhardt?K struck out looking (3-2).
Rizzi to rf.
Moore to lf.
Bailiff?K grounded out to 1b unassisted (1-1).
Rizzi to lf.
Moore to rf.
Parkinson?S hit by pitch (1-2).
Rizzi to rf.
Moore to lf.
Dray?M hit by pitch (0-1)3a Parkinson?S advanced to second.
Delamora?B grounded out to p (3-2)3a Dray?M advanced to second3a Parkinson?S advanced to third.
Rizzi to lf.
Moore to rf.
DeBerry?D singled? advanced to second on a throwing error by ss? RBI (1-2)3a Dray?M scored? unearned3a Parkinson?S scored.
Murray?L singled? RBI (2-0)3a DeBerry?D scored? unearned.
Ramsey?K singled (0-0)3a Murray?L advanced to second.
Wike?T walked (3-1)3a Ramsey?K advanced to second3a Murray?L advanced to third.
Burkhardt?K singled to second base? RBI (0-1)3a Wike?T advanced to second3a Ramsey?K advanced to third3a Murray?L scored? unearned.
Rizzi to rf.
Moore to lf.
Bailiff?K grounded out to 2b (2-0).
Rizzi to lf.
Moore to rf.
Parkinson?S flied out to cf (1-0).
Rizzi to rf.
Moore to lf.
Dray?M struck out swinging (1-2).
Delamora?B walked (3-0).
Rizzi to lf.
Moore to rf.
DeBerry?D popped up to ss (1-2).
Prickett to rf for Moore.
Murray?L out at first p to 2b (2-0).
Ramsey?K singled to shortstop (2-1).
Ramsey?K out at second c to ss? caught stealing.
Wike?T grounded out to 2b (3-2).
Burkhardt?K hit by pitch (1-1).
Bailiff?K out at first 3b to 2b? SAC? bunt (0-0)3a Burkhardt?K advanced to third.
Burkhardt?K out at home c to ss? picked off.
Parkinson?S grounded out to ss (3-1).
Rizzi to lf for Jones? N..
Dray?M singled through the left side (1-2).
West?B pinch ran for Dray?M.
Delamora?B walked (3-0)3a West?B advanced to second.
Cole?H pinch ran for Delamora?B.
DeBerry?D reached on a fielder's choice (1-2)3a Cole?H out at second ss to 2b3a West?B advanced to third.
DeBerry?D stole second3a West?B stole home.
Murray?L struck out swinging? reached first on a passed ball? advanced to second (2-2)3a DeBerry?D advanced to third.
Ramsey?K struck out looking (0-2).
Wike?T flied out to lf (1-0).
Murray?L grounded out to 3b (2-2).
Ramsey?K fouled out to lf (1-1).
Wike?T struck out looking (2-2).
Burkhardt?K flied out to lf (2-2).
Delamora?B grounded out to 1b unassisted (3-2).
Parkinson?S fouled out to 3b (2-2).
Dray?M singled to right field (0-0).
West?B pinch ran for Dray?M.
Bailiff?K out at first 1b to 2b? SAC? bunt (0-0)3a West?B advanced to second.
Shifflett?K singled to right field (1-1)3a West?B advanced to third.
Cole?H pinch ran for Shifflett?K.
Cole?H stole second? advanced to third3a West?B stole home.
Murray?L flied out to lf (1-1).
Ramsey?K struck out swinging (2-2).
Wike?T struck out looking (2-2).
Burkhardt?K grounded out to ss (1-2).
Delamora?B grounded out to 3b (3-2).
Parkinson?S singled through the left side (2-2).
Dray?M flied out to lf (1-0).
Bailiff?K fouled out to 1b (3-2).
Shifflett?K singled to right field (1-0)3a Parkinson?S advanced to second.
Murray?L singled to center field (1-1)3a Shifflett?K advanced to second3a Parkinson?S advanced to third.
Ramsey?K reached on a fielder's choice (1-0)3a Murray?L advanced to second3a Shifflett?K out at third ss to 3b.
Balzer to 1b for Nimmo.
Bishop to c for Jones? N..
Wike?T singled through the left side (0-0).
Burkhardt?K reached on a fielder's choice (0-1)3a Wike?T out at second 2b to ss.
DeBerry?D pinch hit for Delamora?B.
DeBerry?D singled? bunt (1-0)3a Burkhardt?K advanced to second.
Parkinson?S flied out to lf (2-1).
Dray?M flied out to cf (0-0).
Murray?L singled to third base (1-2 KBK).
Murray?L out at second c to 2b? caught stealing.
Ramsey?K singled through the left side (2-2 FBKBF).
Wike?T singled through the left side (2-2 KBBKFFF)3a Ramsey?K advanced to second.
Pickett?B homered to left field? 3 RBI (3-2 KBBSBF)3a Wike?T scored3a Ramsey?K scored.
Burkhardt?K grounded out to 2b (3-1 BBFB).
Parkinson?S flied out to lf (2-2 BKFBF).
Dray?M grounded out to ss (1-0 B).
Shifflett?K singled through the left side (1-0 B).
West?B pinch ran for Shifflett?K.
DeBerry?D flied out to lf (1-1 FB).
Murray?L walked (3-1 FBBBB)3a West?B advanced to second.
Ramsey?K doubled to left center? 2 RBI (1-0 B)3a Murray?L scored3a West?B scored.
Wallace to p for Woodall.
Wike?T singled down the rf line? RBI (3-1 BBBK)3a Ramsey?K scored.
Pickett?B walked (3-1 BBKBB)3a Wike?T advanced to second.
Burkhardt?K grounded out to p (1-1 BK).
Parkinson?S grounded out to 2b (2-0 BB).
Dray?M walked (3-0 BBBB).
Cole?H pinch ran for Dray?M.
Shifflett?K to dp for West?B.
Shifflett?K singled through the left side (1-1 BK)3a Cole?H advanced to second.
DeBerry?D singled? bunt3a Shifflett?K advanced to second3a Cole?H advanced to third.
Murray?L reached on a fielder's choice (0-1 K)3a DeBerry?D advanced to second3a Shifflett?K advanced to third3a Cole?H out at home 3b to c.
Ramsey?K grounded out to 3b (1-0 B).
Wike?T singled to center field (0-1 K).
Pickett?B grounded into double play 1b to ss to 2b (0-0)3a Wike?T out on the play.
Burkhardt?K grounded out to 1b unassisted (0-2 KF).
Parkinson?S struck out swinging (1-2 BKFS).
Dray?M struck out swinging (2-2 BKBSS).
Shifflett?K grounded out to 3b (1-0 B).
DeBerry?D grounded out to p (0-2 KS).
Murray?L doubled to third base (1-1 KB).
Ramsey?K flied out to lf (0-0).
Wike?T tripled to center field? RBI (3-1 BBKB)3a Murray?L scored.
Pickett?B singled to right field? RBI (3-0 BBB)3a Wike?T scored.
Murray?L fouled out to c (2-2 BFBK).
Ramsey?K lined out to ss (1-2 BKK).
Wike?T doubled to right field (2-2 KFBFB).
Pickett?B struck out swinging (2-2 BFBKS).
Burkhardt?K flied out to cf (1-0 B).
Parkinson?S out at first p to 2b (0-0).
Dray?M struck out looking (3-2 FFFBBBK).
Shifflett?K struck out swinging (2-2 FKBFFBFFS).
DeBerry?D singled? bunt (0-0).
DeBerry?D stole second.
Murray?L singled to right field (2-1 BBS)3a DeBerry?D advanced to third.
Murray?L stole second? out at third c to 2b to c to 3b3a DeBerry?D stole home.
Ramsey?K singled up the middle (0-0).
Wike?T fouled out to c (0-0).
Pickett?B struck out looking (2-2 BKBKK).
Burkhardt?K doubled to right field (3-2 BFFBBFFF).
Parkinson?S flied into double play rf to ss (2-1 BBF)3a Burkhardt?K out on the play.
Dray?M singled down the lf line (0-0).
West?B pinch ran for Dray?M.
Shifflett?K singled to shortstop (0-2 FK)3a West?B advanced to second.
Cole?H pinch ran for Shifflett?K.
West?B stole third.
DeBerry?D reached on a fielder's choice (2-2 BBKF)3a Cole?H advanced to second3a West?B out at home 2b to c.
Poepping to p for Sanford.
Murray?L singled? advanced to third? RBI3a DeBerry?D advanced to second? advanced to third on an error by cf? scored on an error by c? unearned3a Cole?H scored.
Ramsey?K grounded out to 3b (0-1 K).
Wike?T flied out to cf (1-1 BK).
Mycek to c for A. Umphlett.
Pickett?B homered to center field? RBI (2-2 KSFBBF).
Burkhardt?K grounded out to 1b unassisted (2-1 BBK).
Parkinson?S singled up the middle (1-1 BK).
Dray?M singled through the left side (0-0)3a Parkinson?S advanced to second.
Shifflett?K to dp for Cole?H.
Shifflett?K out at first p to 2b? SAC? bunt (0-0)3a Dray?M advanced to second3a Parkinson?S advanced to third.
DeBerry?D struck out swinging (2-2 BFFBS).
Murray?L singled up the middle (3-2).
Murray?L out at first 1b unassisted? runner left early.
Ramsey?K flied out to lf (0-1).
Wike?T flied out to rf (0-0).
Pickett?B struck out swinging (0-2).
Burkhardt?K walked (3-0).
Parkinson?S struck out looking (1-2).
Burkhardt?K stole second.
Dray?M popped up to ss (0-2).
Shifflett?K fouled out to lf (2-1).
DeBerry?D lined out to lf (1-1).
Murray?L walked (3-0).
Murray?L out at second c to 2b? caught stealing.
Ramsey?K singled to left field (1-0).
Wike?T out at first c to 2b? SAC? bunt (2-0); Ramsey?K advanced to second.
Pickett?B walked (3-1).
West?B pinch ran for Pickett?B.
Burkhardt?K singled to right field (0-0); West?B advanced to second; Ramsey?K advanced to third.
Parkinson?S hit by pitch? RBI (2-2); Burkhardt?K advanced to second; West?B advanced to third; Ramsey?K scored.
Dray?M doubled to right field? 2 RBI (0-1); Parkinson?S advanced to third; Burkhardt?K scored; West?B scored.
Shifflett?K out at first 1b to 2b? SAC? bunt? RBI (0-1); Dray?M advanced to third; Parkinson?S scored.
DeBerry?D grounded out to c unassisted (2-2).
Murray?L fouled out to lf (1-1).
Ramsey?K flied out to lf (1-0).
Wike?T flied out to cf (3-2).
Webb? S to rf for Roper? B.
Pickett?B grounded out to 1b unassisted (1-0).
Burkhardt?K reached on a fielding error by 1b (1-1).
Parkinson?S struck out swinging (1-2).
Dray?M flied out to cf (0-0).
Shifflett?K struck out swinging (0-2).
DeBerry?D singled up the middle (3-1).
Murray?L singled? bunt (0-0); DeBerry?D advanced to second.
Ramsey?K popped up to cf (0-2).
Wike?T flied out to cf (0-0).
Murray?L singled up the middle (3-2).
Murray?L stole second.
Ramsey?K grounded out to ss (2-2).
Wike?T flied into double play rf to 3b (2-2); Murray?L out on the play.
Pickett?B flied out to cf (0-0).
Burkhardt?K grounded out to ss (1-1).
Parkinson?S walked (3-2).
Dray?M flied out to lf (0-1).
Bailiff?K lined out to ss (2-2).
DeBerry?D singled up the middle (1-2).
DeBerry?D stole second.
Murray?L flied out to lf (2-1).
Ramsey?K singled to third base (1-1); DeBerry?D advanced to third.
Ramsey?K stole second.
Wike?T singled down the rf line? 2 RBI (3-2); Ramsey?K scored; DeBerry?D scored.
Pickett?B struck out swinging (2-2).
Burkhardt?K lined out to 2b (3-1).
Parkinson?S flied out to lf (2-2).
Dray?M singled to left field (2-1).
West?B pinch ran for Dray?M.
Bailiff?K grounded out to 1b unassisted (0-2).
DeBerry?D popped up to ss (1-2).
Murray?L singled? bunt (0-0).
Murray?L stole second.
Ramsey?K grounded out to ss (2-2).
Wike?T flied out to cf (2-1).
Stanford? C to lf for Roper? B.
Pickett?B struck out looking (1-2).
Burkhardt?K doubled to right center (3-2).
Parkinson?S flied out to lf (1-0).
Dray?M popped up to 2b (1-1).
Bell? M to 3b for von Behren.
Webb? S to rf for Chadwick? K.
Delamora?B pinch hit for Bailiff?K.
Delamora?B popped up to p (3-2).
DeBerry?D flied out to lf (1-1).
Murray?L grounded out to ss (0-2).
Murray?L flied out to cf (3-1).
Ramsey?K doubled to left center (0-0).
Wike?T singled? bunt (1-0); Ramsey?K advanced to third.
Wike?T stole second; Ramsey?K scored on a throwing error by c? unearned.
Pickett?B flied out to cf (1-1).
Burkhardt?K singled up the middle? advanced to second on the throw? RBI (1-1); Wike?T scored.
Parkinson?S singled up the middle? out at second cf to c to ss? RBI (0-0); Burkhardt?K scored.
Barfield? B to p for Dickerson? N.
Dray?M grounded out to 1b unassisted (3-2).
Bailiff?K struck out swinging (1-2).
DeBerry?D singled? bunt (0-1).
Murray?L lined out to ss (1-0).
Prairie? R to c.
Webb? S to rf.
Ramsey?K popped up to lf (1-0).
Wike?T homered to right field? RBI (0-1).
Pickett?B homered to center field? RBI (1-0).
Burkhardt?K flied out to cf (2-2).
Parkinson?S walked (3-2).
Dray?M flied out to rf (0-0).
Bailiff?K walked (3-2).
West?B pinch ran for Bailiff?K.
DeBerry?D reached on a fielder's choice (1-2); West?B out at second p to 2b.
DeBerry?D out at first 1b unassisted? runner left early.
Murray?L fouled out to 1b (0-0).
Ramsey?K flied out to lf (1-2).
Anderson? E to p for Barfield? B.
Wike?T flied out to cf (1-0).
Pickett?B hit by pitch (3-1).
Cole?H pinch ran for Pickett?B.
Burkhardt?K lined out to ss (1-2).
Parkinson?S doubled to left center (3-2).
Shifflett?K pinch hit for Dray?M.
Shifflett?K fouled out to c (0-1).
Bailiff?K flied out to lf (1-1).
DeBerry?D grounded out to 3b? bunt (1-1).
Murray?L out at first c to 2b (0-0).
Ramsey?K grounded out to 2b (0-0).
Wike?T popped up to ss (1-1).
Murray?L flied out to lf (1-2 FKB).
Ramsey?K singled to second base (2-2 BFFBF).
Wike?T fouled out to ss (1-2 KBSF).
Ramsey?K stole second.
Pickett?B popped up to 2b (0-2 KS).
Burkhardt?K grounded out to 3b? bunt (1-1 BF).
Parkinson?S flied out to cf (3-2 BFSBB).
Dray?M lined out to 2b (1-2 KSBF).
Jensen?H lined out to 2b (3-1 BBBK).
DeBerry?D singled to left center (2-2 KFBB).
Murray?L reached on a fielder's choice (0-0); DeBerry?D out at second 2b unassisted.
Murray?L stole second.
Ramsey?K struck out looking (3-2 BFFBFBK).
Wike?T singled to catcher? bunt (0-0).
Pickett?B struck out swinging (2-2 SBFBFFS).
Burkhardt?K lined out to lf (0-0).
Parkinson?S flied out to lf down the lf line (1-2 FBK).
Dray?M popped up to 3b (0-2 SF).
Jensen?H struck out looking (2-2 KBKFBFK).
DeBerry?D grounded out to 2b (1-2 BFF).
Hansen to lf.
Holmgren to rf.
Martin to cf.
Murray?L struck out swinging.
Ramsey?K singled up the middle.
Hansen to cf.
Holmgren to lf.
Martin to rf.
Wike?T singled to shortstop: Ramsey?K advanced to second.
Pickett?B popped up to ss.
Goodman?Z grounded out to 3b.
Parkinson?S struck out swinging.
Burkhardt?K out at first c to 2b? bunt.
Dray?M struck out swinging.
DeBerry?D popped up to 2b.
Hansen to lf.
Holmgren to rf.
Martin to cf.
Murray?L grounded out to 2b.
Ramsey?K lined out to cf.
Hansen to cf.
Holmgren to lf.
Martin to rf.
Wike?T popped up to 2b.
Pickett?B popped up to 3b.
Goodman?Z walked.
Parkinson?S popped up to 2b.
Burkhardt?K walked.
Dray?M reached on a fielder's choice? bunt: Burkhardt?K out at second 3b to ss.
Cole?H pinch ran for Dray?M.
Cole?H stole second.
DeBerry?D singled up the middle? advanced to second on the throw: Cole?H advanced to third.
Hansen to lf.
Holmgren to rf.
Martin to cf.
Murray?L reached on a fielder's choice? RBI? stole second: DeBerry?D advanced to third: Cole?H scored.
Ramsey?K reached on a dropped fly by 2b? advanced to second on the throw? RBI: Murray?L advanced to third: DeBerry?D scored? unearned.
Wike?T fouled out to 3b.
Hansen to cf.
Holmgren to lf.
Martin to rf.
Pickett?B homered to left center? 3 RBI? unearned: Ramsey?K scored? unearned: Murray?L scored? unearned.
Hearn to p.
/ for Romero.
Goodman?Z singled to center field? out at second cf to ss to 2b.
Delamora?B pinch hit for Parkinson?S.
Delamora?B reached on a throwing error by 3b.
Parkinson?S to 2b for Delamora?B.
Burkhardt?K out on batter's interference.
Dray?M popped up to 2b.
Parkinson?S out at second c to ss? caught stealing.
DeBerry?D singled to shortstop.
Hansen to lf.
Holmgren to rf.
Martin to cf.
Murray?L out on batter's interference.
DeBerry?D stole second.
Ramsey?K reached on a fielder's choice.
Wike?T out at first p to 2b? SAC? bunt: Ramsey?K advanced to second: DeBerry?D advanced to third.
Hansen to cf.
Holmgren to lf.
Martin to rf.
DeBerry?D out at home p to c? caught stealing.
Murray?L grounded out to 2b.
Ramsey?K struck out swinging.
Wike?T grounded out to 1b unassisted.
Pickett?B grounded out to ss.
Goodman?Z grounded out to 3b.
Burkhardt?K singled up the middle.
Shifflett?K grounded out to 3b.
Dray?M grounded out to ss.
DeBerry?D struck out swinging.
Murray?L out on batter's interference.
Ramsey?K out at first 1b to 2b.
Wike?T grounded out to ss.
Pickett?B walked.
Cole?H pinch ran for Pickett?B.
Goodman?Z grounded out to 3b.
Burkhardt?K grounded out to ss.
Shifflett?K grounded out to p.
Dray?M out at first p to 2b? bunt.
Delamora?B pinch hit for DeBerry?D.
Delamora?B hit by pitch.
DeBerry?D to lf for Delamora?B.
DeBerry?D out at second c to ss? caught stealing.
Murray?L struck out swinging.
Ramsey?K singled up the middle.
Wike?T struck out swinging.
Holmgren to lf for Martin.
Pickett?B struck out looking.
Goodman?Z grounded out to 1b unassisted.
Burkhardt?K singled through the right side.
Jensen?H pinch hit for Shifflett?K.
Burkhardt?K advanced to second on a wild pitch? advanced to third.
Jensen?H grounded out to 2b.
Murray?L grounded out to p (2-2 KKBB).
Ramsey?K struck out looking (0-2 KFK).
Wike?T hit by pitch (0-0).
Pickett?B doubled to left field? RBI (2-2 BBFF)3a Wike?T scored.
Goodman?Z walked (3-0 BBBB).
Burkhardt?K singled up the middle? RBI (1-2 BKF)3a Goodman?Z advanced to second3a Pickett?B scored.
Delamora?B grounded out to 2b (3-2 BBKKB).
Shifflett?K flied out to rf (2-2 BKKFB).
DeBerry?D out on batter's interference (3-2 BBKFB).
Murray?L singled through the left side (1-2 FBF).
Murray?L stole second.
Ramsey?K grounded out to 3b (2-1 SBB).
Wike?T grounded out to 1b unassisted (1-0 B).
Pickett?B homered to center field? RBI (3-2 BKBBF).
Goodman?Z grounded out to ss (2-1 BKB).
Burkhardt?K doubled to left field (1-0 B).
Delamora?B walked (3-0 BBBB).
Cole?H pinch ran for Delamora?B.
Cole?H advanced to second on a passed ball3a Burkhardt?K advanced to third.
Shifflett?K struck out swinging (3-2 BBBKKS).
DeBerry?D walked (3-1 BKBBB).
DeBerry?D advanced to second on a wild pitch? advanced to third.
DeBerry?D out at home c to ss? picked off.
Murray?L grounded out to ss (3-2 KBBSB).
Ramsey?K grounded out to ss (0-0).
Wike?T doubled to center field (3-2 BBBKF).
Wike?T advanced to third on a wild pitch.
Pickett?B doubled to left field? RBI (1-2 BKKF)3a Wike?T scored.
Parkinson?S pinch ran for Pickett?B.
HUTCHINS? H. to p for RICHARDS? M..
Goodman?Z homered to left field? 2 RBI (2-1 BSB)3a Parkinson?S scored.
Burkhardt?K grounded out to ss (2-1 BBF).
Delamora?B flied out to cf (2-2 KBBF).
Shifflett?K homered to left field? RBI (3-1 FBBB).
West?B pinch hit for DeBerry?D.
West?B struck out swinging (1-2 FFFBFS).
HERRING? M. to cf for JONES? H..
Burns?B pinch hit for Murray?L.
Burns?B singled to pitcher (0-0).
Hutcherson?C pinch hit for Ramsey?K.
Murray?L to 1b for Burns?B.
Hutcherson?C singled to right field (0-0)3a Murray?L advanced to second.
Ramsey?K to cf for Hutcherson?C.
Wike?T singled to right field? RBI (1-1 BF)3a Ramsey?K advanced to second3a Murray?L scored.
Ramsey?K walked (3-2 BBKBFB).
Wike?T out at first c to 2b? SAC? bunt (1-0 B)3a Ramsey?K advanced to second.
Burkhardt?K struck out swinging (2-2 BBKFS).
Ramsey?K out at third c to 2b to 3b? caught stealing.
Bailiff?K hit by pitch (0-0).
West?B pinch ran for Bailiff?K.
Delamora?B hit by pitch (0-0)3a West?B advanced to second.
Cole?H pinch ran for Delamora?B.
Cole?H advanced to second on a passed ball? stole third3a West?B advanced to third? stole home.
Parkinson?S walked (3-0 BBBB).
Dray?M singled through the left side? RBI (0-2 FF)3a Parkinson?S advanced to second3a Cole?H scored.
Pickett?B popped up to 2b (0-0).
DeBerry?D singled to pitcher (0-0)3a Dray?M advanced to second3a Parkinson?S advanced to third.
Ramsey?K walked? RBI (3-2 BFFBBB)3a DeBerry?D advanced to second3a Dray?M advanced to third3a Parkinson?S scored.
Rochard? K. to p for Dail? J..
Ramsey?K advanced to second3a DeBerry?D advanced to third3a Dray?M scored on a wild pitch.
Wike?T walked (3-2 BBBSSB).
Burkhardt?K doubled to right field? out at second rf to 2b? 2 RBI (0-0)3a Wike?T advanced to third3a Ramsey?K scored3a DeBerry?D scored.
Bailiff?K to c for West?B.
Bailiff?K struck out swinging (3-2 BBBKKS).
Delamora?B to dp for Cole?H.
Delamora?B walked (3-2 BBBKKB).
Parkinson?S out at first p to 2b? SAC? bunt (0-0)3a Delamora?B advanced to second.
Dray?M flied out to lf (1-1 FB).
Pickett?B walked.
DeBerry?D singled to second base (0-1 F)3a Pickett?B advanced to second3a Delamora?B advanced to third.
Burns?B pinch ran for Pickett?B.
Ramsey?K homered to center field? 4 RBI (1-1 BK)3a DeBerry?D scored3a Burns?B scored3a Delamora?B scored.
Wike?T fouled out to c (1-0 B).
Burkhardt?K grounded out to c unassisted (0-0).
Bailiff?K flied out to cf (2-2 FFBB).
Delamora?B singled to right field (1-1 BK).
Jensen?H pinch hit for Parkinson?S.
Jensen?H singled to pitcher (3-2 SBSBB)3a Delamora?B advanced to second.
Parkinson?S to 2b for Jensen?H.
Dray?M flied out to cf (1-2 SBSF).
Ramsey?K grounded out to ss (3-1 BBBK).
Wike?T grounded out to 2b (1-2 KFB).
Burkhardt?K walked (3-2 KBFBBB).
Burkhardt?K stole second.
Bailiff?K reached on a fielding error by 2b (1-2 BKS)3a Burkhardt?K scored? unearned.
Delamora?B hit by pitch (0-0)3a Bailiff?K advanced to second.
West?B pinch ran for Bailiff?K.
Parkinson?S reached on a fielding error by 1b? out at second 1b to cf (1-1 BF)3a Delamora?B advanced to third3a West?B scored? unearned.
Dray?M grounded out to p (1-0 B).
Shifflett?K doubled down the lf line (1-2 BKKF).
Cole?H pinch ran for Shifflett?K.
